latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd2013,rcvr_clk_ns
40.774060294444446,-73.97114340833333,-12.1578,15.31428,57,2025,19.186,-73.476
40.77407206111111,-73.9710794361111,0.1133,15.31400,57,2025,31.456,-29.166
40.77405969722222,-73.97113368888888,1.1427,15.31373,57,2025,32.486,-1.296
40.774146286111105,-73.97117943611111,1.0106,15.31345,57,2025,32.354,12.559
40.774083794444444,-73.97126055277778,-7.8651,15.31317,57,2025,23.479,0.782
40.77399694722222,-73.971151425,1.9974,15.31289,57,2025,33.341,10.209
40.7740972,-73.97104289722222,-1.5799,15.31261,57,2025,29.763,80.438
40.77400065833333,-73.97094073055557,5.0569,15.31234,57,2025,36.400,85.600
40.774300463888885,-73.97112520555554,-15.7878,15.31206,57,2025,15.555,1.690
40.773789125,-73.97071264722223,21.2216,15.31178,57,2025,52.564,-69.205
40.77378203333333,-73.97081877222223,29.8909,15.31150,57,2025,61.234,-71.933
40.77385430277778,-73.9706799277778,1.7381,15.31123,57,2025,33.080,-61.187
40.774345983333326,-73.97128745,-14.7334,15.31095,57,2025,16.610,63.262
40.77408378055556,-73.9708561,-16.3766,15.31067,57,2025,14.966,-30.295
40.774050824999996,-73.97085580833334,-18.3255,15.31039,57,2025,13.017,-57.672
40.774053222222214,-73.970799975,8.6893,15.31011,57,2025,40.032,-50.387
40.77404650277778,-73.9709154388889,-1.6257,15.30984,57,2025,29.717,1.533
40.77413468333333,-73.97107324166669,-11.2058,15.30956,57,2025,20.137,76.876
40.774200344444445,-73.97118997777778,-2.016,15.30928,57,2025,29.327,-73.928
40.774060325,-73.97092042777777,13.6654,15.30900,57,2025,45.008,-21.286
40.77423843888889,-73.97096114444444,-17.8231,15.30873,57,2025,13.520,-25.678
40.774277311111106,-73.9712020527778,-12.5404,15.30845,57,2025,18.803,-36.817
40.774225272222225,-73.971097975,-16.2913,15.30817,57,2025,15.052,26.178
40.77437885555555,-73.97083105555556,-21.9671,15.30789,57,2025,9.375,-9.533
40.77436066944444,-73.97107553055557,-38.5146,15.30761,57,2025,-7.172,33.703
40.77396458611111,-73.97082152777779,17.9029,15.30734,57,2025,49.245,-0.163
